product_id,location_id,current_stock,avg_daily_demand,avg_lead_time_days,safety_stock,reorder_point,reorder_quantity,inventory_status
P001,L01,468,55.88153456998314,10,112,670,1649,Reorder Needed
P001,L02,639,55.32588532883643,10,115,668,1555,Reorder Needed
P001,L03,531,55.68170320404722,10,111,667,1629,Reorder Needed
P001,L04,422,55.53752107925801,10,115,670,1546,Reorder Needed
P001,L05,565,55.47849915682968,10,114,668,1584,Reorder Needed
P001,L06,763,55.694772344013494,10,113,669,1759,Optimal
P001,L07,750,55.2677065767285,10,115,667,1703,Optimal
P001,L08,381,55.145446880269816,10,115,666,1543,Reorder Needed
P001,L09,460,55.7685497470489,10,114,671,1560,Reorder Needed
P001,L10,563,54.785413153457,10,118,665,1649,Reorder Needed
P001,L11,581,54.839797639123105,10,116,664,1560,Reorder Needed
P001,L12,417,55.13870151770658,10,113,664,1538,Reorder Needed
P001,L13,635,55.814924114671165,10,115,673,1674,Reorder Needed
P001,L14,248,55.419055649241145,10,114,668,1518,Reorder Needed
P001,L15,570,55.53456998313659,10,112,667,1614,Reorder Needed
P001,L16,488,55.14502529510961,10,116,667,1530,Reorder Needed
P001,L17,512,55.54089376053963,10,112,667,1629,Reorder Needed
P001,L18,671,55.897976391231026,10,112,670,1453,Optimal
P001,L19,576,55.86720067453626,10,110,668,1668,Reorder Needed
P001,L20,627,55.419055649241145,10,111,665,1599,Reorder Needed
P002,L01,552,55.81028667790894,10,110,668,1557,Reorder Needed
P002,L02,468,55.47006745362563,10,115,669,1645,Reorder Needed
P002,L03,550,55.804384485666105,10,113,671,1621,Reorder Needed
P002,L04,439,56.790050590219224,10,112,679,1616,Reorder Needed
P002,L05,465,55.78035413153457,10,113,670,1580,Reorder Needed
P002,L06,418,55.69055649241147,10,116,672,1631,Reorder Needed
P002,L07,389,55.53204047217538,10,113,668,1554,Reorder Needed
P002,L08,633,55.592327150084316,10,113,668,1620,Reorder Needed
P002,L09,362,56.05564924114671,10,112,672,1584,Reorder Needed
P002,L10,492,55.752951096121414,10,111,668,1519,Reorder Needed
P002,L11,482,55.07251264755481,10,114,664,1646,Reorder Needed
P002,L12,432,54.80016863406408,10,113,661,1656,Reorder Needed
P002,L13,468,55.53077571669477,10,115,670,1721,Reorder Needed
P002,L14,388,55.86129848229342,10,111,669,1506,Reorder Needed
P002,L15,615,56.110876897133224,10,115,676,1678,Reorder Needed
P002,L16,501,55.69814502529511,10,113,669,1602,Reorder Needed
P002,L17,523,54.83853288364249,10,115,663,1677,Reorder Needed
P002,L18,545,56.03161888701518,10,115,675,1572,Reorder Needed
P002,L19,459,55.46079258010118,10,117,671,1608,Reorder Needed
P002,L20,459,54.8747892074199,10,109,657,1491,Reorder Needed
P003,L01,477,55.05986509274874,10,115,665,1552,Reorder Needed
P003,L02,604,55.202782462057336,10,116,668,1638,Reorder Needed
P003,L03,370,55.94983136593592,10,112,671,1558,Reorder Needed
P003,L04,562,55.752951096121414,10,116,673,1612,Reorder Needed
P003,L05,573,56.24494097807757,10,111,673,1720,Reorder Needed
P003,L06,600,55.71585160202361,10,113,670,1549,Reorder Needed
P003,L07,384,55.65050590219224,10,111,667,1587,Reorder Needed
P003,L08,612,54.563237774030355,10,115,660,1691,Reorder Needed
P003,L09,536,55.567453625632375,10,113,668,1539,Reorder Needed
P003,L10,495,54.92032040472176,10,112,661,1523,Reorder Needed
P003,L11,342,56.0,10,113,673,1650,Reorder Needed
P003,L12,429,55.839797639123105,10,114,672,1648,Reorder Needed
P003,L13,451,55.573777403035415,10,114,669,1505,Reorder Needed
P003,L14,416,55.27403035413153,10,115,667,1648,Reorder Needed
P003,L15,466,55.514755480607086,10,114,669,1539,Reorder Needed
P003,L16,427,56.335160202360875,10,115,678,1614,Reorder Needed
P003,L17,449,55.48397976391231,10,116,670,1666,Reorder Needed
P003,L18,416,56.010118043844855,10,112,672,1565,Reorder Needed
P003,L19,683,56.0362563237774,10,111,671,1620,Optimal
P003,L20,532,55.59106239460371,10,112,667,1510,Reorder Needed
P004,L01,570,55.661888701517704,10,111,667,1681,Reorder Needed
P004,L02,438,54.90640809443508,10,116,665,1602,Reorder Needed
P004,L03,210,55.84485666104553,10,112,670,1625,Reorder Needed
P004,L04,540,55.52023608768971,10,113,668,1629,Reorder Needed
P004,L05,338,55.57841483979764,10,112,667,1587,Reorder Needed
P004,L06,454,54.93296795952782,10,112,661,1565,Reorder Needed
P004,L07,562,55.419055649241145,10,114,668,1712,Reorder Needed
P004,L08,683,54.75252951096122,10,114,661,1546,Optimal
P004,L09,584,55.377740303541316,10,114,667,1615,Reorder Needed
P004,L10,440,55.20151770657673,10,114,666,1569,Reorder Needed
P004,L11,420,55.419055649241145,10,116,670,1419,Reorder Needed
P004,L12,627,56.23440134907251,10,109,671,1700,Reorder Needed
P004,L13,633,56.02908937605396,10,113,673,1524,Reorder Needed
P004,L14,617,55.63490725126476,10,114,670,1491,Reorder Needed
P004,L15,712,55.276981450252954,10,114,666,1586,Optimal
P004,L16,513,55.78246205733558,10,114,671,1622,Reorder Needed
P004,L17,859,55.61256323777403,10,115,671,1564,Optimal
P004,L18,489,55.32082630691399,10,117,670,1379,Reorder Needed
P004,L19,189,55.46627318718381,10,109,663,1570,Reorder Needed
P004,L20,553,55.75252951096122,10,113,670,1526,Reorder Needed
P005,L01,689,55.79763912310287,10,113,670,1574,Optimal
P005,L02,518,55.70952782462057,10,113,670,1585,Reorder Needed
P005,L03,411,54.3579258010118,10,112,655,1673,Reorder Needed
P005,L04,600,55.20489038785835,10,113,665,1648,Reorder Needed
P005,L05,419,56.276138279932546,10,112,674,1577,Reorder Needed
P005,L06,670,55.422006745362566,10,110,664,1681,Optimal
P005,L07,314,55.63279932546374,10,114,670,1606,Reorder Needed
