product_id,location_id,Metric,Value
P001,L01,MAE,13.793568122866525
P001,L01,RMSE,19.01679767829955
P001,L01,MAPE,22.367458375695136
P001,L02,MAE,14.534201307546747
P001,L02,RMSE,19.921227797614133
P001,L02,MAPE,20.88678705348625
P001,L03,MAE,13.384308956312418
P001,L03,RMSE,16.107422575199163
P001,L03,MAPE,23.18901739045267
P001,L04,MAE,14.630253647727821
P001,L04,RMSE,17.611367835728068
P001,L04,MAPE,23.517837372627433
P001,L05,MAE,13.25783913514929
P001,L05,RMSE,18.345175581584527
P001,L05,MAPE,21.28591821392387
P001,L06,MAE,14.480253344473093
P001,L06,RMSE,18.550984684689354
P001,L06,MAPE,23.572388467053347
P001,L07,MAE,12.332909551359291
P001,L07,RMSE,14.425090388803858
P001,L07,MAPE,23.748102444723038
P001,L08,MAE,12.934827105561505
P001,L08,RMSE,16.59868639799289
P001,L08,MAPE,22.330910172758536
P001,L09,MAE,11.703478540225307
P001,L09,RMSE,15.282971178600725
P001,L09,MAPE,18.582242626171986
P001,L10,MAE,11.62111519473435
P001,L10,RMSE,13.23028678679637
P001,L10,MAPE,23.064667900807084
P001,L11,MAE,9.738020539259674
P001,L11,RMSE,12.421928459070555
P001,L11,MAPE,19.282687806650735
P001,L12,MAE,11.072929646920382
P001,L12,RMSE,12.845839194004862
P001,L12,MAPE,21.634500165837313
P001,L13,MAE,9.997640649279832
P001,L13,RMSE,12.560421368097318
P001,L13,MAPE,18.231751679185884
P001,L14,MAE,14.727169000047672
P001,L14,RMSE,18.399736918211307
P001,L14,MAPE,21.45790187643253
P001,L15,MAE,13.3716304848381
P001,L15,RMSE,15.611722273561439
P001,L15,MAPE,26.04201641403906
P001,L16,MAE,16.231903027967018
P001,L16,RMSE,21.37396341633584
P001,L16,MAPE,22.46783417870739
P001,L17,MAE,16.00544583332111
P001,L17,RMSE,20.88435160931558
P001,L17,MAPE,21.38892840688939
P001,L18,MAE,14.073483875978472
P001,L18,RMSE,17.952725056733954
P001,L18,MAPE,21.94083193517268
P001,L19,MAE,15.958289190560663
P001,L19,RMSE,19.801377359852843
P001,L19,MAPE,28.62000846821263
P001,L20,MAE,11.584533397699404
P001,L20,RMSE,14.121496414215885
P001,L20,MAPE,21.910053058154748
P002,L01,MAE,10.863503027614309
P002,L01,RMSE,12.602589995474988
P002,L01,MAPE,25.891684612633632
P002,L02,MAE,11.09074362667187
P002,L02,RMSE,13.353200185561022
P002,L02,MAPE,22.717273416804733
P002,L03,MAE,9.558658577866739
P002,L03,RMSE,11.073546987799373
P002,L03,MAPE,19.18182753531442
P002,L04,MAE,14.023652816494465
P002,L04,RMSE,15.70641356901338
P002,L04,MAPE,26.84302586493858
P002,L05,MAE,15.204060542853092
P002,L05,RMSE,17.671255530932086
P002,L05,MAPE,25.165677006107686
P002,L06,MAE,15.391965823063032
P002,L06,RMSE,17.74923280669279
P002,L06,MAPE,25.231355828246976
P002,L07,MAE,16.116443160147146
P002,L07,RMSE,20.489342647442772
P002,L07,MAPE,25.31246451203057
P002,L08,MAE,11.645083829792517
P002,L08,RMSE,13.674203999155035
P002,L08,MAPE,19.85206453159466
P002,L09,MAE,10.447495237289202
P002,L09,RMSE,12.125828775314465
P002,L09,MAPE,19.03874104910982
P002,L10,MAE,20.14013658296111
P002,L10,RMSE,26.13299108692334
P002,L10,MAPE,25.568291160284474
P002,L11,MAE,14.409546216230195
P002,L11,RMSE,16.748621876887242
P002,L11,MAPE,23.178623380650006
P002,L12,MAE,13.239621925091678
P002,L12,RMSE,16.530990271739146
P002,L12,MAPE,21.467701075508767
P002,L13,MAE,19.70872527717174
P002,L13,RMSE,28.263494245178723
P002,L13,MAPE,29.42371965545327
P002,L14,MAE,13.478083197960787
P002,L14,RMSE,20.82942956043001
P002,L14,MAPE,16.250083656372308
P002,L15,MAE,12.44264779128576
P002,L15,RMSE,14.585951330204448
P002,L15,MAPE,20.798284021780695
P002,L16,MAE,10.54918613493476
P002,L16,RMSE,14.313203152192097
P002,L16,MAPE,17.898544958217578
P002,L17,MAE,16.860561438333022
P002,L17,RMSE,20.596423329434426
P002,L17,MAPE,25.179411204837095
P002,L18,MAE,16.82142728969584
P002,L18,RMSE,23.487252701288924
P002,L18,MAPE,24.142641668932225
P002,L19,MAE,15.11370829304884
P002,L19,RMSE,18.990648530103826
P002,L19,MAPE,24.67279387119706
P002,L20,MAE,16.08866899996947
P002,L20,RMSE,22.35060266961515
P002,L20,MAPE,20.778587804279987
P003,L01,MAE,12.61685522872432
P003,L01,RMSE,15.135823481465087
P003,L01,MAPE,22.40534744852503
P003,L02,MAE,12.746110077783785
P003,L02,RMSE,15.35813834580904
P003,L02,MAPE,21.17523314362972
P003,L03,MAE,11.78014149527013
P003,L03,RMSE,15.59395621259811
P003,L03,MAPE,19.26537419513817
P003,L04,MAE,15.442465675630919
P003,L04,RMSE,17.68517196344306
P003,L04,MAPE,28.773049794421013
P003,L05,MAE,12.985956251465499
P003,L05,RMSE,16.020442481039595
P003,L05,MAPE,20.471761035068987
P003,L06,MAE,15.981941052879225
P003,L06,RMSE,23.58628647644154
P003,L06,MAPE,19.513480514019026
P003,L07,MAE,13.802974069709274
P003,L07,RMSE,19.867674186898753
P003,L07,MAPE,17.028808423090616
P003,L08,MAE,13.004744388702768
P003,L08,RMSE,17.37649742326261
P003,L08,MAPE,16.890327473293127
P003,L09,MAE,16.05744598672767
P003,L09,RMSE,20.864979602185333
P003,L09,MAPE,23.949210920258267
P003,L10,MAE,13.594305319571067
P003,L10,RMSE,16.422895916199963
P003,L10,MAPE,21.14975689425812
P003,L11,MAE,12.159734138441559
P003,L11,RMSE,15.637984133370791
P003,L11,MAPE,20.032500970219935
P003,L12,MAE,12.821172019591147
P003,L12,RMSE,17.230234064965032
P003,L12,MAPE,17.77569913384828
P003,L13,MAE,15.432496260910419
P003,L13,RMSE,20.20030044353206
P003,L13,MAPE,23.882338823691434
P003,L14,MAE,12.733937223222318
P003,L14,RMSE,16.04442886308235
P003,L14,MAPE,24.71843295399412
P003,L15,MAE,15.596610510733866
P003,L15,RMSE,19.83312951728096
P003,L15,MAPE,24.842995148576666
P003,L16,MAE,15.990850023403686
P003,L16,RMSE,20.127832034752927
P003,L16,MAPE,25.724184742688657
P003,L17,MAE,15.284644917557516
P003,L17,RMSE,21.212996998760385
P003,L17,MAPE,27.126915286031007
P003,L18,MAE,14.301619296028457
P003,L18,RMSE,18.996252220229664
P003,L18,MAPE,22.885087632946014
P003,L19,MAE,17.73410744884633
